GEO_NAME,Income,Gini,Category,Count,right_edges,gini_cdf,gini_original,error_pct,error_pct_squared
Cape Spear,99800,0.328,"Under $5,000",230,5000,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$5,000 to $9,999",315,9999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$10,000 to $14,999",635,14999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$15,000 to $19,999",705,19999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$20,000 to $24,999",1635,24999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$25,000 to $29,999",1425,29999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$30,000 to $34,999",1370,34999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$35,000 to $39,999",1515,39999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$40,000 to $44,999",1490,44999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$45,000 to $49,999",1440,49999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$50,000 to $59,999",2770,59999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$60,000 to $69,999",2535,69999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$70,000 to $79,999",2380,79999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$80,000 to $89,999",2270,89999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$90,000 to $99,999",2045,99999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$100,000 to $124,999",4235,124999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$125,000 to $149,999",3160,149999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$150,000 to $199,999",3870,199999,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Cape Spear,99800,0.328,"$200,000 and over",3150,Inf,0.3960378359230471,0.328,0.20743242659465572,0.04302821160294723
Central Newfoundland,77900,0.32,"Under $5,000",140,5000,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$5,000 to $9,999",280,9999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$10,000 to $14,999",675,14999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$15,000 to $19,999",660,19999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$20,000 to $24,999",2350,24999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$25,000 to $29,999",1450,29999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$30,000 to $34,999",2105,34999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$35,000 to $39,999",2280,39999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$40,000 to $44,999",1630,44999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$45,000 to $49,999",1450,49999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$50,000 to $59,999",2820,59999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$60,000 to $69,999",2575,69999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$70,000 to $79,999",2435,79999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$80,000 to $89,999",2050,89999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$90,000 to $99,999",1815,99999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$100,000 to $124,999",3185,124999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$125,000 to $149,999",1980,149999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$150,000 to $199,999",1960,199999,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Central Newfoundland,77900,0.32,"$200,000 and over",1280,Inf,0.382853904083328,0.32,0.19641845026039992,0.038580207602697196
Labrador,125600,0.311,"Under $5,000",35,5000,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$5,000 to $9,999",40,9999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$10,000 to $14,999",80,14999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
