"","male","union_both","party_close"
"303",0,NA,NA
"304",0,1,0
"305",0,NA,0.5
"306",0,1,0.5
"307",1,0,0.5
"308",0,1,0.5
"309",1,NA,0
"310",1,NA,0.5
"311",0,NA,NA
"312",1,1,0.5
"313",1,1,1
"314",0,NA,1
"315",0,NA,NA
"316",1,0,NA
"317",1,NA,NA
"318",0,1,0.5
"319",1,1,NA
"320",0,1,NA
"321",0,NA,NA
"322",0,0,NA
"323",0,1,NA
"324",0,0,NA
"325",0,0,NA
"326",0,1,0
"327",1,0,NA
"328",0,NA,NA
"329",1,NA,NA
"330",1,NA,NA
"331",0,NA,1
"332",1,1,NA
"333",1,1,NA
"334",1,0,NA
"335",0,0,NA
"336",1,0,0
"337",1,0,0
"338",1,NA,NA
"339",1,NA,1
"340",1,0,NA
"341",1,0,NA
"342",0,NA,NA
"343",0,0,1
"344",1,NA,1
"345",1,NA,NA
"346",0,0,NA
"347",0,0,1
"348",1,1,0
"349",0,NA,NA
"350",1,NA,0
"351",1,0,0.5
"352",1,NA,0.5
"353",1,0,0.5
"354",1,0,NA
"355",1,1,0.5
"356",0,NA,0.5
"357",0,0,NA
"358",0,NA,0
"359",1,0,NA
"360",1,1,NA
"361",1,0,NA
"362",0,0,NA
"363",1,NA,NA
"364",1,NA,NA
"365",0,NA,0.5
"366",1,NA,0.5
"367",1,NA,NA
"368",0,0,0.5
"369",1,1,1
"370",1,NA,NA
"371",1,0,0.5
"372",1,0,0.5
"373",0,1,0.5
"374",0,1,1
"375",1,NA,0.5
"376",0,NA,0.5
"377",0,NA,1
"378",1,NA,NA
"379",1,1,0
"380",0,NA,0.5
"381",1,1,NA
"382",0,0,1
"383",1,NA,NA
"384",0,0,0.5
"385",1,NA,0.5
"386",0,NA,0.5
"387",1,NA,NA
"388",0,NA,NA
"389",1,0,NA
"390",0,NA,NA
"391",0,NA,1
"392",0,NA,0
"393",1,NA,NA
"394",1,NA,0.5
"395",1,1,1
"396",0,NA,NA
"397",1,NA,NA
"398",0,NA,0.5
"399",1,1,0.5
"400",0,1,1
"401",0,1,0.5
"402",0,1,1
"403",0,NA,0.5
"404",1,1,1
"405",0,NA,1
"406",0,NA,NA
"407",0,NA,1
"408",0,NA,0.5
"409",1,NA,0.5
"410",0,0,NA
"411",1,0,0.5
"412",1,1,0.5
"413",1,0,0.5
"414",0,NA,0.5
"415",1,NA,0
"416",1,0,1
"417",1,0,0
"418",1,0,0.5
"419",0,NA,0.5
"420",0,NA,0.5
"421",0,NA,1
"422",1,1,0.5
"423",1,NA,1
"424",1,1,1
"425",0,NA,NA
"426",0,NA,1
"427",0,NA,NA
"428",0,NA,1
"429",0,0,0.5
"430",1,1,NA
"431",1,NA,NA
"432",1,NA,1
"433",0,0,NA
"434",1,NA,NA
"435",1,NA,NA
"436",1,1,1
"437",1,0,0.5
"438",1,0,NA
"439",0,NA,NA
"440",1,1,0.5
"441",1,1,NA
"442",0,0,0.5
"443",0,NA,0.5
"444",0,NA,0.5
"445",0,NA,NA
"446",0,NA,0.5
