"","mip_lower","n"
"235","keeping out the right-wing",1
"236","keeping the far right out of govt",1
"237","keeping the fringe out of power",1
"238","keeping the tories out.",1
"239","keeping thecpc out of government",1
"240","kicking useless trudeau out",1
"241","l ensemble en général",1
"242","la bonne gestion",1
"243","la laicité",1
"244","la reprise suite a la crise",1
"245","la reprise.",1
"246","la région",1
"247","lack of concrete plans from party leaders",1
"248","lack of options",1
"249","laisser les gens decider pour leurs vies",1
"250","land",1
"251","le bien et l""avenir du peuple",1
"252","le bien être des citoyens",1
"253","le bien être du peuple",1
"254","le bonheur",1
"255","le choix du premier ministre",1
"256","le contrôle de la socété",1
"257","le cou de la vie",1
"258","le respect des compétences",1
"259","le réchauffement",1
"260","le système legale",1
"261","le timing",1
"262","leader",1
"263","leaders",1
"264","leadership & common sense",1
"265","leadership lacking",1
"266","leadership of the country",1
"267","leadership who cares",1
"268","les champs de compétence",1
"269","les dépense inutiles",1
"270","les gaufres belges",1
"271","les mensonges de trudeau",1
"272","les soins relatifs",1
"273","loss of choice",1
"274","l’assurance complète pour tous",1
"275","l’avenir de notre société",1
"276","l’éc",1
"277","make a decision",1
"278","many",1
"279","meteo",1
"280","mettre en place le moins con",1
"281","mettre fin au gouvernement de justin trudeau",1
"282","mettre trudeau dehors",1
"283","more of the same",1
"284","more opportunities",1
"285","more than one",1
"286","mr. trudeau has to be gone!!!!!!",1
"287","my bleak future",1
"288","need a change in government",1
"289","need a new leader",1
"290","new",1
"291","new leadership",1
"292","nimporte quoi",1
"293","nine",1
"294","no plans ahead",1
"295","no problem",1
"296","no specific issue",1
"297","not avl",1
"298","not enough capable candidtes",1
"299","not having one",1
"300","not quite ready for a change",1
"301","not right time",1
"302","not to change the govt. right now",1
"303","not trudeau",1
"304","not yet",1
"305","notre avenir",1
"306","npd",1
"307","npd will not win",1
"308","organize",1
"309","other",1
"310","over population",1
"311","overall, getting rid of trudeau as he is destroying this country!",1
"312","overpopulation",1
"313","party that will get things done",1
"314","people",1
"315","people be heard ! logistics",1
"316","performance of government",1
"317","perte de temps",1
"318","picking the right party",1
"319","plaire à m. trudeau",1
"320","population",1
"321","practical making ends meet",1
"322","premier ministre",1
"323","prendre soin de son peuple",1
"324","prendre soin des gens",1
"325","prime minister",1
"326","priorities  not right",1
"327","problems with ndp",1
"328","progressiveness of parties",1
"329","promesse tenue",1
"330","put trudeau out",1
"331","putting people before companies",1
"332","qfarmer geowth",1
"333","que trudeau reste",1
"334","que trudeau s en aille",1
"335","quelqu'un qui nous représente bien",1
"336","real change",1
"337","reform",1
"338","remove trudeau",1
"339","removing justin trudeau as pm.",1
"340","removing justin trudeau as prime minister",1
"341","removing justin trudeau as prime minister.",1
"342","removing justin trudeau from power",1
"343","removing prime minister trudeau from office",1
"344","removing the existing government",1
"345","removing trudeau as prime minister",1
"346","removing trudeau from power",1
"347","removing trudope",1
"348","replace justin trudeau",1
"349","replacement of trudeau government",1
"350","replacing justin trudeau",1
"351","replacing the prime minister with someone competent",1
"352","replacing trudeau",1
"353","respect",1
"354","respect de verite",1
"355","respect des compétences",1
"356","respect des compétences de chaque niveau de gouvernements",1
"357","retour de plusieurs secteurs a redonner au province",1
"358","right choice?",1
"359","right leader",1
"360","se debarasse de trudeau",1
"361","se débarasser de justin trudeau",1
"362","se débarrasser de trudeau",1
"363","se débarrassé de trudeau parce quil est néfaste pour le pays",1
"364","see my community grow",1
"365","self esteem",1
"366","should be easier  to get rid of lack luster leaders.",1
"367","should not have been called.",1
"368","shouldn't have been called",1
"369","so many things",1
"370","so many things are",1
"371","some one who cares about the country and the citizens",1
"372","someone that doesnt screw the country up anymore than it is",1
"373","someone to come in and help out the small people.",1
"374","sortir justin trudeau du rôle de premier ministre",1
"375","sortir les pourries a trudeau",1
"376","sortir trudeau !!!",1
"377","sortir trudeau au plus christ",1
"378","sound leadership",1
"379","stop the trend to right wing extremism.",1
"380","strong leadership to make changes",1
"381","studios su",1
"382","that it was called in the first place as it was not necessary.",1
"383","that it's going to be rigged",1
"384","that justin trudeau loses",1
"385","that they do what they say…",1
"386","that trudeau gets kicked out of office",1
"387","the best overall platform not just one issue.",1
"388","the country is in right hands",1
"389","the end of tyranny from all parties",1
"390","the fact that it shouldn't have been called in the first place!",1
"391","the future of the country",1
"392","the leadership of justin trudeau",1
"393","the leadership of justin trudeau as pm",1
"394","the ndp need to win",1
"395","the number of seats in the east compared to the west.",1
"396","the person",1
"397","the presidents",1
"398","the right and unbiased results",1
"399","the right leader",1
"400","the right party wins not the person",1
"401","the rime it was called",1
"402","the search for a competent prime minister",1
"403","the way government is running the country",1
"404","the weakness of the pm always shutting issues down that he doesn't want to face.",1
"405","the weather",1
"406","there are too many",1
"407","there are too many to just pick one",1
"408","there is no one single issue",1
"409","they don’t care about the people",1
"410","thinking of the future generation",1
"411","timing",1
"412","to be rid of justin trudeau",1
"413","to find the best leader",1
"414","to get a new set of people to run",1
"415","to get another party in power",1
"416","to get justin trudeau out",1
"417","to get justin trudeau out of office",1
"418","to get rid of justin trudeau",1
