FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Saint-Denis,Quebec,33275,4275,5430,3955,5055,5015,2920,3410,2480,16160,16160,155,60923,22635,11220,10005,1660,4810,7025,5165,4415
Saint-Henri-Westmount,Quebec,34980,3255,4525,4115,3605,3725,3490,9390,2935,22410,22410,430,159046,10750,10015,7555,905,4200,5960,9535,18430
Saint-Hyacinthe-Bagot,Quebec,27665,2420,4000,4255,4110,3605,3210,3605,2935,18729,18729,203,47201,21175,13085,11185,3275,3635,7105,2020,2710
Saint-Jacques,Quebec,33260,7615,7795,5365,4120,2850,1875,1975,1660,14824,10969,164,51811,18255,9870,5895,990,2825,4960,5765,7850
Saint-Jean,Quebec,29480,2710,4110,4035,4405,4090,3275,3635,2625,22062,19399,255,47059,19180,14780,12210,3090,4650,8630,3335,3225
Saint-Léonard-Anjou,Quebec,42410,2985,4825,4625,5965,6075,5310,7495,6085,26915,24919,155,90714,26250,17465,18365,3275,7615,12800,7105,5460
Saint-Maurice,Quebec,23785,2670,3980,3475,3230,3545,2615,2460,1810,17662,17937,188,38924,14765,9835,10485,3290,3915,8870,2500,2150
Saint-Michel,Quebec,29195,2945,4235,4215,4285,3725,3105,3600,3080,21345,18753,185,67404,18975,11105,10855,1990,5290,7850,4205,3945
Shefford,Quebec,31490,2345,4380,3760,5000,4690,3730,3805,2765,21432,20294,176,44655,21670,16765,11995,3410,4215,8220,2945,3050
Sherbrooke,Quebec,29265,3795,5150,3690,4405,4000,2650,3220,2895,20284,16548,153,46244,14995,11775,9355,2495,4610,8125,4715,6450
Témiscamingue,Quebec,24940,2695,2695,3255,3255,3220,2670,3150,3150,21421,18856,203,36503,18890,14275,7960,3640,3240,5995,2715,2280
Terrebonne,Quebec,40405,2305,3690,3175,5175,6450,5935,7830,5450,25241,24225,147,49318,23550,20210,19670,4875,6785,13725,4595,3990
Trois-Rivières,Quebec,25820,3505,4140,3640,3065,2100,2530,3285,2550,20695,17686,213,43644,14915,10075,9790,2385,4455,8285,3970,4765
Vaudreuil,Quebec,39875,2270,3370,3550,4470,5235,4980,7980,8030,28332,25932,197,54880,15955,18215,16180,3055,7050,13830,9390,9070
Verchères,Quebec,37085,2270,2710,2975,3785,5120,5110,5785,8030,28725,25932,193,56358,15865,15695,16660,3330,6890,14220,7145,8005
Verdun-Saint-Paul,Quebec,30830,4230,4935,4635,4365,3815,2790,3475,2580,19490,16827,174,49905,19300,13900,9860,1905,4080,5770,3700,3535
Ontario,Ontario,2969785,187810,375560,356190,360095,387775,344315,489690,468345,25577,22553,26,78218,,,,,,,,
Algoma,Ontario,24805,1810,3270,2650,2775,3675,3175,4220,3120,23709,22599,212,49798,13250,19845,7595,2555,2820,7265,3090,2405
Beaches,Ontario,27130,1885,3670,3815,3280,2900,2900,4405,3510,23792,21486,195,90117,12070,18585,6705,1525,3670,6140,5015,5795
Brampton-Georgetown,Ontario,50905,1450,2575,3425,4505,6890,7555,13325,11185,30465,29403,151,86634,13945,40200,18125,4530,7885,21075,9725,7730
Brant,Ontario,36080,2640,5130,4580,4735,5520,4250,5425,3770,22845,20907,220,56212,15530,27535,9555,3045,4375,10815,4340,3975
Broadview-Greenwood,Ontario,26770,2190,3505,4580,3820,3375,2860,3375,3375,22845,22499,201,93214,14825,16415,5815,1295,3205,6450,4740,6065
Bruce-Grey,Ontario,26415,4765,4005,3995,3215,3000,2260,2375,2375,20594,19258,242,52245,13115,17625,7920,2660,3300,8580,2880,2670
Burlington,Ontario,37885,1195,2675,2870,3580,4680,4645,8710,9535,31673,29209,221,87557,6920,25475,12265,2820,5980,15050,9055,10355
Cambridge,Ontario,27010,1460,1580,3255,3610,4410,3885,4240,3905,23501,21901,215,57527,13340,20285,7585,2145,3165,8250,3250,2825
Cochrane-Superior (Supérieur),Ontario,18815,1305,1535,1535,2035,2715,2565,3540,3100,25911,24396,250,44222,12080,14445,5510,1980,1730,4820,2290,2030
Davenport,Ontario,21775,1435,2740,3010,3440,3185,2725,3010,2225,22381,20366,198,78234,21570,14045,5000,1505,2570,4520,2975,2790
Don Valley East (Est),Ontario,36035,1295,2390,3180,3340,4495,3925,6380,11450,35480,29754,308,149548,5480,21625,11190,1810,5935,12835,11610,15470
Don Valley West (Ouest),Ontario,39350,1440,3735,5065,5400,4380,4380,6485,10130,45925,34279,694,213265,4940,13350,8245,1125,4830,10045,10920,19515
Durham-Northumberland,Ontario,25770,1235,3265,3020,3250,3745,4005,4625,3160,24372,22872,202,65908,9600,21500,7820,2170,3055,8795,3330,3085
Eglinton-Lawrence,Ontario,32090,1790,3630,4115,4020,3805,3205,4760,6770,29441,23158,344,138113,14690,16470,7150,1660,4060,7900,6820,10820
Elgin,Ontario,23495,1555,3630,3225,3535,3380,2630,3190,2340,22102,19717,238,54289,10610,17955,6785,1945,2830,7185,2630,1945
Erie,Ontario,23610,1500,3535,3090,3435,3055,3420,3420,2805,21249,21249,268,57669,10715,17700,7720,2265,2850,6560,3510,2750
Essex-Kent,Ontario,23915,890,3655,3115,3120,3345,2740,3450,3045,24075,20864,283,65955,13550,17135,6855,1730,2860,6435,3025,2645
Essex-Windsor,Ontario,33225,1985,3625,3265,4045,4495,4130,6305,5400,26178,23977,209,73072,13040,25040,11205,2905,4740,10510,5985,4845
Etobicoke Centre,Ontario,36465,1035,2060,2960,3535,3550,3920,7200,12215,36823,31670,325,138722,9030,22035,11735,2335,6095,12655,9805,12725
Etobicoke North (Nord),Ontario,35550,1805,2765,3010,3645,4285,4810,7985,7985,29458,27413,207,103997,14305,27535,11300,3415,5765,12760,7580,6195
Etobicoke-Lakeshore,Ontario,33925,1940,4555,4435,4585,4285,3905,5295,5010,24362,21602,197,101272,14350,20530,8460,2255,4535,9605,5335,5360
Glengarry-Prescott-Russell,Ontario,25320,1605,3325,3210,3210,2980,2980,3060,5410,23642,21007,228,55989,14750,17795,10360,1895,2500,6435,3870,3040
Grey-Simcoe,Ontario,26110,2110,5030,4385,3780,3260,2775,2885,2075,18713,19825,203,55746,11715,17930,7525,2425,3070,7605,2755,2915
Guelph,Ontario,29295,1945,3545,3635,3770,4020,4235,4235,4425,24994,25609,251,67967,9930,19335,7955,1945,3095,9100,6055,7680
