FED,Province_Territory,All_Households,Avg_Income,Median_Income,SE_Avg_Income,Income,Count,right_edges,fit,warn,gini,fed_avg_income,fed_median_income
Laval,Quebec,35915,27457,25341,197,X5000_9999,2680,9999,,FALSE,0.3375652397988571,27457,25341
Laval,Quebec,35915,27457,25341,197,X10000_14999,2415,14999,,FALSE,0.3375652397988571,27457,25341
Laval,Quebec,35915,27457,25341,197,X15000_19999,4355,19999,,FALSE,0.3375652397988571,27457,25341
Laval,Quebec,35915,27457,25341,197,X20000_24999,5155,24999,,FALSE,0.3375652397988571,27457,25341
Laval,Quebec,35915,27457,25341,197,X25000_29999,4750,29999,,FALSE,0.3375652397988571,27457,25341
Laval,Quebec,35915,27457,25341,197,X30000_39999,4725,39999,,FALSE,0.3375652397988571,27457,25341
Laval,Quebec,35915,27457,25341,197,X40000_and_over,6335,Inf,,FALSE,0.3375652397988571,27457,25341
Laval-des-Rapides,Quebec,35390,24961,21557,214,Under_5000,4335,5000,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X5000_9999,4485,9999,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X10000_14999,3415,14999,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X15000_19999,4425,19999,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X20000_24999,4285,24999,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X25000_29999,3840,29999,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X30000_39999,5720,39999,,FALSE,0.4169913703249921,24961,21557
Laval-des-Rapides,Quebec,35390,24961,21557,214,X40000_and_over,5175,Inf,,FALSE,0.4169913703249921,24961,21557
Lévis,Quebec,35810,24377,22540,175,Under_5000,2985,5000,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X5000_9999,3925,9999,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X10000_14999,4000,14999,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X15000_19999,4700,19999,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X20000_24999,5350,24999,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X25000_29999,4695,29999,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X30000_39999,6235,39999,,FALSE,0.35451739618149525,24377,22540
Lévis,Quebec,35810,24377,22540,175,X40000_and_over,4535,Inf,,FALSE,0.35451739618149525,24377,22540
Longueuil,Quebec,45320,21909,19918,144,Under_5000,4400,5000,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X5000_9999,5625,9999,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X10000_14999,5985,14999,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X15000_19999,6760,19999,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X20000_24999,6155,24999,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X25000_29999,6205,29999,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X30000_39999,6205,39999,,FALSE,0.3501115938934368,21909,19918
Longueuil,Quebec,45320,21909,19918,144,X40000_and_over,4940,Inf,,FALSE,0.3501115938934368,21909,19918
Lotbinière,Quebec,25300,20851,20851,207,Under_5000,2215,5000,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X5000_9999,4035,9999,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X10000_14999,3950,14999,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X15000_19999,3825,19999,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X20000_24999,3625,24999,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X25000_29999,2900,29999,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X30000_39999,2185,39999,,FALSE,0.3818485627975813,20851,20851
Lotbinière,Quebec,25300,20851,20851,207,X40000_and_over,2185,Inf,,FALSE,0.3818485627975813,20851,20851
Louis-Hébert,Quebec,35470,30567,24563,266,Under_5000,2070,5000,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X5000_9999,2965,9999,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X10000_14999,3485,14999,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X15000_19999,3990,19999,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X20000_24999,5530,24999,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X25000_29999,6105,29999,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X30000_39999,6105,39999,,FALSE,0.40885208368808257,30567,24563
Louis-Hébert,Quebec,35470,30567,24563,266,X40000_and_over,5175,Inf,,FALSE,0.40885208368808257,30567,24563
Manicouagan,Quebec,23920,27318,26302,218,Under_5000,1530,5000,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X5000_9999,2100,9999,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X10000_14999,2730,14999,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X15000_19999,3090,19999,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X20000_24999,3290,24999,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X25000_29999,3810,29999,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X30000_39999,3810,39999,,FALSE,0.35126192063366857,27318,26302
Manicouagan,Quebec,23920,27318,26302,218,X40000_and_over,4640,Inf,,FALSE,0.35126192063366857,27318,26302
Matapédia-Matane,Quebec,17770,15469,15469,218,Under_5000,1795,5000,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X5000_9999,3055,9999,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X10000_14999,3045,14999,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X15000_19999,2790,19999,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X20000_24999,1500,24999,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X25000_29999,1425,29999,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X30000_39999,1695,39999,,TRUE,0.3662045445946146,15469,15469
Matapédia-Matane,Quebec,17770,15469,15469,218,X40000_and_over,1425,Inf,,TRUE,0.3662045445946146,15469,15469
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,Under_5000,2635,5000,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X5000_9999,4155,9999,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X10000_14999,4160,14999,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X15000_19999,3780,19999,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X20000_24999,3440,24999,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X25000_29999,2280,29999,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X30000_39999,2660,39999,,FALSE,0.3761242220509856,19530,16876
Mégantic-Compton-Stanstead,Quebec,24985,19530,16876,193,X40000_and_over,1865,Inf,,FALSE,0.3761242220509856,19530,16876
Missisquoi,Quebec,24515,20149,17911,195,Under_5000,1680,5000,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X5000_9999,4010,9999,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X10000_14999,3975,14999,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X15000_19999,3495,19999,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X20000_24999,3470,24999,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X25000_29999,2515,29999,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X30000_39999,2765,39999,,FALSE,0.34145168060590936,20149,17911
Missisquoi,Quebec,24515,20149,17911,195,X40000_and_over,1930,Inf,,FALSE,0.34145168060590936,20149,17911
Montmorency-Orléans,Quebec,26070,24675,22595,315,Under_5000,2805,5000,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X5000_9999,2825,9999,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X10000_14999,3415,14999,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X15000_19999,3410,19999,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X20000_24999,3935,24999,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X25000_29999,3350,29999,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X30000_39999,4030,39999,,FALSE,0.4002674037998122,24675,22595
Montmorency-Orléans,Quebec,26070,24675,22595,315,X40000_and_over,3305,Inf,,FALSE,0.4002674037998122,24675,22595
Montréal-Mercier,Quebec,30800,23550,21817,171,Under_5000,2670,5000,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X5000_9999,3775,9999,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X10000_14999,3480,14999,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X15000_19999,4245,19999,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X20000_24999,4435,24999,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X25000_29999,3795,29999,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X30000_39999,5055,39999,,FALSE,0.3546770850255835,23550,21817
Montréal-Mercier,Quebec,30800,23550,21817,171,X40000_and_over,3885,Inf,,FALSE,0.3546770850255835,23550,21817
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,Under_5000,5490,5000,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X5000_9999,6695,9999,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X10000_14999,4575,14999,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X15000_19999,4220,19999,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X20000_24999,3020,24999,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X25000_29999,2105,29999,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X30000_39999,2180,39999,,FALSE,0.4161329265052063,15551,12782
Montréal-Sainte-Marie,Quebec,29555,15551,12782,156,X40000_and_over,1265,Inf,,FALSE,0.4161329265052063,15551,12782
Mount Royal,Quebec,23665,40304,29898,312,Under_5000,880,5000,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X5000_9999,1715,9999,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X10000_14999,2260,14999,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X15000_19999,2390,19999,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X20000_24999,2430,24999,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X25000_29999,2290,29999,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X30000_39999,3725,39999,,FALSE,0.41576242449184764,40304,29898
Mount Royal,Quebec,23665,40304,29898,312,X40000_and_over,8515,Inf,,FALSE,0.41576242449184764,40304,29898
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,Under_5000,3150,5000,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X5000_9999,4645,9999,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X10000_14999,4050,14999,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X15000_19999,4800,19999,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X20000_24999,4650,24999,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X25000_29999,3345,29999,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X30000_39999,3000,39999,,FALSE,0.4930069207781337,33720,22311
Notre-Dame-de-Grâce-Lachine,Quebec,33720,33720,22311,625,X40000_and_over,9225,Inf,,FALSE,0.4930069207781337,33720,22311
Outremont,Quebec,32865,23313,21143,410,Under_5000,4635,5000,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X5000_9999,5510,9999,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X10000_14999,4385,14999,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X15000_19999,3120,19999,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X20000_24999,3780,24999,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X25000_29999,3130,29999,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X30000_39999,4100,39999,,FALSE,0.46533329381992183,23313,21143
Outremont,Quebec,32865,23313,21143,410,X40000_and_over,4100,Inf,,FALSE,0.46533329381992183,23313,21143
Papineau,Quebec,30070,18321,17596,182,Under_5000,4635,5000,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X5000_9999,6300,9999,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X10000_14999,3125,14999,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X15000_19999,3900,19999,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X20000_24999,3780,24999,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X25000_29999,3130,29999,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X30000_39999,4100,39999,,FALSE,0.3867914056016203,18321,17596
Papineau,Quebec,30070,18321,17596,182,X40000_and_over,4100,Inf,,FALSE,0.3867914056016203,18321,17596
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,Under_5000,1820,5000,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X5000_9999,3630,9999,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X10000_14999,3630,14999,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X15000_19999,2410,19999,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X20000_24999,1820,24999,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X25000_29999,1040,29999,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X30000_39999,2410,39999,,FALSE,0.3823793447120608,20080,16491
Pontiac-Gatineau-Labelle,Quebec,21890,20080,16491,199,X40000_and_over,2410,Inf,,FALSE,0.3823793447120608,20080,16491
Portneuf,Quebec,25780,22107,20484,172,Under_5000,1870,5000,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X5000_9999,3340,9999,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X10000_14999,3390,14999,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X15000_19999,3755,19999,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X20000_24999,3135,24999,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X25000_29999,3550,29999,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X30000_39999,3225,39999,,FALSE,0.34512623294110345,22107,20484
Portneuf,Quebec,25780,22107,20484,172,X40000_and_over,2595,Inf,,FALSE,0.34512623294110345,22107,20484
Québec-Est,Quebec,28990,19059,16834,169,Under_5000,3770,5000,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X5000_9999,4600,9999,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X10000_14999,4430,14999,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X15000_19999,4430,19999,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X20000_24999,4140,24999,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X25000_29999,2650,29999,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X30000_39999,3130,39999,,FALSE,0.3780615516889674,19059,16834
Québec-Est,Quebec,28990,19059,16834,169,X40000_and_over,2185,Inf,,FALSE,0.3780615516889674,19059,16834
Richelieu,Quebec,25510,22003,20115,210,Under_5000,2385,5000,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X5000_9999,3805,9999,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X10000_14999,3370,14999,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X15000_19999,3585,19999,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X20000_24999,3155,24999,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X25000_29999,3470,29999,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X30000_39999,3225,39999,,FALSE,0.37107996041633984,22003,20115
Richelieu,Quebec,25510,22003,20115,210,X40000_and_over,2785,Inf,,FALSE,0.37107996041633984,22003,20115
Richmond-Wolfe,Quebec,20130,20084,18442,202,Under_5000,1790,5000,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X5000_9999,3500,9999,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X10000_14999,2860,14999,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X15000_19999,2780,19999,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X20000_24999,2130,24999,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X25000_29999,2130,29999,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X30000_39999,2470,39999,,FALSE,0.3708102789480735,20084,18442
Richmond-Wolfe,Quebec,20130,20084,18442,202,X40000_and_over,1470,Inf,,FALSE,0.3708102789480735,20084,18442
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,Under_5000,2170,5000,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X5000_9999,4070,9999,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X10000_14999,3590,14999,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X15000_19999,3240,19999,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X20000_24999,2425,24999,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X25000_29999,2425,29999,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X30000_39999,3225,39999,,FALSE,0.38242637394598045,20994,18095
Rimouski-Témiscouata,Quebec,23800,20994,18095,203,X40000_and_over,2195,Inf,,FALSE,0.38242637394598045,20994,18095
Roberval,Quebec,19310,21377,18743,242,Under_5000,1585,5000,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X5000_9999,2650,9999,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X10000_14999,2650,14999,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X15000_19999,3245,19999,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X20000_24999,2720,24999,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X25000_29999,1890,29999,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X30000_39999,1740,39999,,FALSE,0.3765546819275729,21377,18743
Roberval,Quebec,19310,21377,18743,242,X40000_and_over,1740,Inf,,FALSE,0.3765546819275729,21377,18743
Rosemont,Quebec,31040,15679,15579,156,Under_5000,4375,5000,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X5000_9999,5645,9999,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X10000_14999,5430,14999,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X15000_19999,4625,19999,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X20000_24999,4525,24999,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X25000_29999,2835,29999,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X30000_39999,3015,39999,,TRUE,0.3700713337876146,15679,15579
Rosemont,Quebec,31040,15679,15579,156,X40000_and_over,1740,Inf,,TRUE,0.3700713337876146,15679,15579
Saint-Denis,Quebec,33275,16160,16160,155,Under_5000,4275,5000,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X5000_9999,5430,9999,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X10000_14999,3955,14999,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X15000_19999,5055,19999,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X20000_24999,5015,24999,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X25000_29999,2920,29999,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X30000_39999,3410,39999,,FALSE,0.3668688747858041,16160,16160
Saint-Denis,Quebec,33275,16160,16160,155,X40000_and_over,2480,Inf,,FALSE,0.3668688747858041,16160,16160
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,Under_5000,3255,5000,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X5000_9999,4525,9999,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X10000_14999,4115,14999,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X15000_19999,3605,19999,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X20000_24999,3725,24999,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X25000_29999,3490,29999,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X30000_39999,9390,39999,,FALSE,0.3312980350343544,22410,22410
Saint-Henri-Westmount,Quebec,34980,22410,22410,430,X40000_and_over,2935,Inf,,FALSE,0.3312980350343544,22410,22410
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,Under_5000,2420,5000,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X5000_9999,4000,9999,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X10000_14999,4255,14999,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X15000_19999,4110,19999,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X20000_24999,3605,24999,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X25000_29999,3210,29999,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X30000_39999,3605,39999,,FALSE,0.34004045857359533,18729,18729
Saint-Hyacinthe-Bagot,Quebec,27665,18729,18729,203,X40000_and_over,2935,Inf,,FALSE,0.34004045857359533,18729,18729
Saint-Jacques,Quebec,33260,14824,10969,164,Under_5000,7615,5000,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X5000_9999,7795,9999,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X10000_14999,5365,14999,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X15000_19999,4120,19999,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X20000_24999,2850,24999,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X25000_29999,1875,29999,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X30000_39999,1975,39999,,FALSE,0.45894644993724953,14824,10969
Saint-Jacques,Quebec,33260,14824,10969,164,X40000_and_over,1660,Inf,,FALSE,0.45894644993724953,14824,10969
Saint-Jean,Quebec,29480,22062,19399,255,Under_5000,2710,5000,,FALSE,0.38619831923774417,22062,19399
Saint-Jean,Quebec,29480,22062,19399,255,X5000_9999,4110,9999,,FALSE,0.38619831923774417,22062,19399
Saint-Jean,Quebec,29480,22062,19399,255,X10000_14999,4035,14999,,FALSE,0.38619831923774417,22062,19399
